timestamp,event,ear,mar,perclos_pct,blinks_per_min
2026-03-02 13:21:18.477,CALIBRATION,0.191,0.841,0.0,0
2026-03-02 13:21:20.607,YAWNING,0.240,0.847,0.0,0
2026-03-02 13:21:24.533,PERCLOS 20%,0.139,0.483,20.0,1
2026-03-02 13:21:27.539,PERCLOS 32%,0.262,0.506,32.4,1
2026-03-02 13:21:30.539,PERCLOS 25%,0.293,0.485,24.9,1
2026-03-02 13:21:33.559,PERCLOS 20%,0.341,0.586,20.2,1
2026-03-02 13:21:47.466,HEAD NOD,0.340,0.515,1.0,2
2026-03-02 13:21:52.497,YAWNING,0.199,0.881,6.0,2
2026-03-02 13:21:57.132,YAWNING,0.197,0.843,6.0,2
2026-03-02 13:22:07.209,EYES CLOSED,0.145,0.547,11.7,2
2026-03-02 13:22:10.243,EYES CLOSED | PERCLOS 28%,0.123,0.545,27.7,2
2026-03-02 13:22:13.263,PERCLOS 26%,0.198,0.463,26.3,2
2026-03-02 13:22:16.315,PERCLOS 26%,0.304,0.642,25.7,3
2026-03-02 13:22:19.311,PERCLOS 26% | LOW BLINK RATE,0.250,0.834,25.7,3
2026-03-02 13:22:22.342,PERCLOS 26% | LOW BLINK RATE,0.248,0.447,25.7,3
2026-03-02 13:22:25.374,PERCLOS 26% | LOW BLINK RATE,0.289,0.494,25.7,2
2026-03-02 13:22:28.397,LOW BLINK RATE,0.227,0.491,15.0,2
2026-03-02 13:22:31.468,LOW BLINK RATE,0.294,0.485,0.3,2
2026-03-02 13:22:34.433,LOW BLINK RATE,0.258,0.365,0.0,2
2026-03-02 13:22:37.457,LOW BLINK RATE,0.233,0.518,0.0,1
2026-03-02 13:22:40.507,LOW BLINK RATE,0.294,0.516,0.0,1
2026-03-02 13:22:43.516,LOW BLINK RATE,0.236,0.356,0.0,1
2026-03-02 13:22:46.540,LOW BLINK RATE,0.275,0.389,0.3,2
2026-03-02 13:22:49.566,LOW BLINK RATE,0.223,0.506,0.3,2
2026-03-02 13:22:52.576,LOW BLINK RATE,0.300,0.517,0.3,2
2026-03-02 13:24:10.034,CALIBRATION,0.171,0.760,0.0,0
2026-03-02 13:24:18.302,YAWNING,0.208,0.765,3.4,2
2026-03-02 13:24:21.350,YAWNING,0.206,0.942,3.4,3
2026-03-02 13:24:38.566,YAWNING,0.235,0.770,0.0,3
2026-03-02 13:24:49.008,HEAD NOD,0.335,0.624,0.0,3
2026-03-02 13:24:53.098,YAWNING,0.304,0.762,0.0,3
2026-03-02 13:24:57.344,YAWNING,0.292,0.779,0.0,3
2026-03-02 13:25:00.345,YAWNING,0.216,0.861,0.0,3
2026-03-02 13:25:03.521,YAWNING,0.227,0.763,0.0,3
2026-03-02 13:25:10.095,LOW BLINK RATE,0.431,0.515,0.0,3
2026-03-02 13:25:13.150,LOW BLINK RATE,0.308,0.408,0.0,2
2026-03-02 13:25:16.152,LOW BLINK RATE,0.307,0.395,0.0,2
2026-03-02 14:50:52.195,CALIBRATION,0.170,0.844,0.0,0
2026-03-02 14:50:52.662,PERCLOS 50%,0.177,0.483,50.0,1
2026-03-02 14:50:55.717,PERCLOS 61%,0.136,0.448,61.2,4
2026-03-02 14:50:58.733,PERCLOS 62%,0.140,0.632,62.2,5
2026-03-02 14:51:01.750,PERCLOS 53%,0.345,0.702,53.2,6
2026-03-02 14:51:04.805,PERCLOS 46%,0.363,0.523,45.5,6
2026-03-02 14:51:07.824,PERCLOS 36%,0.220,0.747,36.1,6
2026-03-02 14:51:10.894,PERCLOS 31%,0.388,0.594,30.8,6
2026-03-02 14:51:13.925,PERCLOS 23%,0.353,0.549,22.7,6
2026-03-02 14:52:03.870,CALIBRATION,0.173,0.883,0.0,0
2026-03-02 14:53:18.478,CALIBRATION,0.170,0.851,0.0,0
2026-03-02 14:53:31.472,YAWNING,0.213,0.864,0.0,0
2026-03-02 14:54:11.422,YAWNING,0.299,0.856,0.0,0
2026-03-02 14:54:20.244,LOW BLINK RATE,0.233,0.323,0.0,0
2026-03-02 14:54:23.299,LOW BLINK RATE,0.195,0.502,0.0,0
2026-03-02 14:54:26.331,LOW BLINK RATE,0.164,0.523,6.3,0
2026-04-19 10:42:10.326,CALIBRATION,0.208,0.883,0.0,0
2026-04-19 10:42:40.166,YAWNING,0.192,0.914,1.3,1
2026-04-19 10:42:43.175,EYES CLOSED | YAWNING,0.195,1.057,17.0,1
2026-04-19 10:42:46.810,PERCLOS 28%,0.279,0.431,27.7,1
2026-04-19 10:42:49.856,PERCLOS 31%,0.184,0.556,31.3,2
2026-04-19 10:42:52.877,PERCLOS 35%,0.280,0.700,34.7,3
2026-04-19 10:42:55.914,EYES CLOSED | PERCLOS 44% | YAWNING,0.187,1.259,44.0,5
2026-04-19 10:42:58.981,PERCLOS 53%,0.279,0.555,52.7,6
2026-04-19 10:43:02.123,PERCLOS 51%,0.328,0.375,51.3,6
